time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2023-03-02T07:49:51Z,161,0,0,0,0,0,19493908,1467,16348019,0,0,0,0,0,0,219752,0,0,0,0,0,0,0,866,15,0,79,1,6,79978,0,0,0,0,0, ,0,0,0,0,0,0,219693,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,585,26,356,798311072,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,950,0,38,0,1900,0,0,0,0,0,0,0,0,0,0,212573,0,6893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:50:51Z,161,0,0,0,0,0,21202484,1467,18056595,0,0,0,0,0,0,222241,0,0,0,0,0,0,0,955,15,0,74,1,6,81640,0,0,0,0,0, ,0,0,0,0,0,0,222205,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,327,30,533,480416744,4,0,0,0,0,0,0,0,0,0,0,4,0,5,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,214025,0,8018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:51:52Z,161,0,0,0,0,0,23575348,1467,20429459,0,0,0,0,0,0,251401,0,0,0,0,0,0,0,1080,19,0,43,1,6,85220,0,0,0,0,0, ,0,0,0,0,0,0,251255,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,395,27,726,722405320,5,0,0,0,0,0,0,0,0,0,0,2,0,31,0,1800,0,72,0,3600,0,0,0,0,0,0,0,0,0,0,238092,0,12727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:52:52Z,161,0,0,0,0,0,25497988,1467,22352099,0,0,0,0,0,0,231717,0,0,0,0,0,0,0,1182,20,0,28,1,6,81784,0,0,0,0,0, ,0,0,0,0,0,0,231659,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1191,25,1708,1199845752,5,0,0,0,0,0,0,0,0,0,0,1,0,15,0,950,0,38,0,1900,0,0,0,0,0,0,0,0,0,0,221745,0,9671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:53:52Z,161,0,0,0,0,0,26507836,1467,23361947,0,0,0,0,0,0,203889,0,0,0,0,0,0,0,1233,21,0,21,1,6,80340,0,0,0,0,0, ,0,0,0,0,0,0,203851,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1945,26,1583,549844720,5,0,0,0,0,0,0,0,0,0,0,4,0,7,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,198495,0,5226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:54:52Z,161,0,0,0,0,0,27384820,1467,24238931,0,0,0,0,0,0,216320,0,0,0,0,0,0,0,1282,21,0,-5,1,6,84613,0,0,0,0,0, ,0,0,0,0,0,0,216187,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,570,799607792,4,0,0,0,0,0,0,0,0,0,0,2,0,26,0,1800,0,72,0,3600,0,0,0,0,0,0,0,0,0,0,209556,0,6295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:55:52Z,161,0,0,0,0,0,27780364,1467,24634475,0,0,0,0,0,0,200802,0,0,0,0,0,0,0,1310,21,0,-12,1,6,82415,0,0,0,0,0, ,0,0,0,0,0,0,200772,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,419,764476056,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,750,0,30,0,1500,0,0,0,0,0,0,0,0,0,0,197868,0,2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:56:52Z,161,0,0,0,0,0,27962740,1467,24816851,0,0,0,0,0,0,199809,0,0,0,0,0,0,0,1323,22,0,-17,1,6,82070,0,0,0,0,0, ,0,0,0,0,0,0,206033,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,273,915860624,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,593,0,6316,0,1186,0,0,0,0,0,0,0,0,0,0,185472,0,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:57:52Z,161,0,0,0,0,0,28088508,1467,24942619,0,0,0,0,0,0,293648,0,0,0,0,0,0,0,1327,22,0,-17,1,6,72653,0,0,0,0,0, ,0,0,0,0,0,0,360586,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,292,848463248,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66938,0,0,0,0,0,0,0,0,0,0,0,0,159223,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-02T07:58:23Z,37402,0,0,0,0,0,29180689,2335,25997559,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1327,22,0,-17,0,7,12,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,2,369,1,0,64,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677742791675,3145728,0,0,0,0,0,5,0,6,0,0,0,3,4,0,0,0,0,0,0,76,2,0,0,8192,4,24731160,26,0,0,0,0,0,0,0,0,914935104,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
